e-fan power              (kW) ;      50 ;     150 ;     250 ;     500 ;    1000 ;    1500 ;    2000 ;    2500 ;    3000 ;    3500 ;    4000
e-chain mass             (kg) ;      31 ;      93 ;     154 ;     308 ;     617 ;     925 ;    1233 ;    1542 ;    1850 ;    2158 ;    2467
TF ref thrust           (daN) ;   11697 ;   11682 ;   11676 ;   11676 ;   11710 ;   11766 ;   11863 ;   11970 ;   12084 ;   12206 ;   12332
Effective ref thrust    (daN) ;   11268 ;   11248 ;   11234 ;   11207 ;   11173 ;   11153 ;   11168 ;   11188 ;   11214 ;   11243 ;   11275
TF nacelle mass          (kg) ;    7400 ;    7369 ;    7342 ;    7280 ;    7170 ;    7070 ;    6987 ;    6908 ;    6833 ;    6760 ;    6689
Wing area                (m2) ;   151.7 ;   151.7 ;   151.8 ;   152.0 ;   152.7 ;   153.5 ;   155.9 ;   158.3 ;   160.8 ;   163.3 ;   165.9
Wing span                 (m) ;    37.0 ;    37.0 ;    37.0 ;    37.0 ;    37.1 ;    37.2 ;    37.5 ;    37.8 ;    38.0 ;    38.3 ;    38.6
Fuselage length           (m) ;    37.3 ;    37.3 ;    37.3 ;    37.3 ;    37.3 ;    37.3 ;    37.3 ;    37.3 ;    37.3 ;    37.3 ;    37.3
Fuselage width            (m) ;     3.9 ;     3.9 ;     3.9 ;     3.9 ;     3.9 ;     3.9 ;     3.9 ;     3.9 ;     3.9 ;     3.9 ;     3.9
MTOW                     (kg) ;   76338 ;   76355 ;   76393 ;   76527 ;   76881 ;   77294 ;   77875 ;   78480 ;   79105 ;   79746 ;   80402
MLW                      (kg) ;   67478 ;   67510 ;   67555 ;   67686 ;   67996 ;   68339 ;   68848 ;   69369 ;   69899 ;   70439 ;   70986
OWE                      (kg) ;   45063 ;   45094 ;   45136 ;   45258 ;   45548 ;   45869 ;   46344 ;   46831 ;   47326 ;   47830 ;   48342
MWE                      (kg) ;   40099 ;   40130 ;   40172 ;   40294 ;   40584 ;   40905 ;   41380 ;   41867 ;   42363 ;   42867 ;   43378
Cruise SFC         (kg/daN/h) ;  0.5391 ;  0.5382 ;  0.5375 ;  0.5365 ;  0.5356 ;  0.5355 ;  0.5358 ;  0.5365 ;  0.5375 ;  0.5386 ;  0.5399
Cruise L/D           (no_dim) ; 18.5303 ; 18.5207 ; 18.5135 ; 18.4994 ; 18.4825 ; 18.4731 ; 18.5083 ; 18.5446 ; 18.5818 ; 18.6196 ; 18.6578
Take Off Field Length     (m) ;    1943 ;    1948 ;    1953 ;    1964 ;    1983 ;    2000 ;    2000 ;    2000 ;    2000 ;    2000 ;    2000
Approach speed           (kt) ;   133.0 ;   133.1 ;   133.1 ;   133.1 ;   133.1 ;   133.1 ;   132.6 ;   132.0 ;   131.5 ;   131.0 ;   130.5
One engine inop path      (%) ;     1.9 ;     1.9 ;     1.9 ;     1.9 ;     1.8 ;     1.7 ;     1.7 ;     1.6 ;     1.6 ;     1.5 ;     1.5
Vz TOC MCL rating    (ft/min) ;     479 ;     479 ;     480 ;     481 ;     484 ;     487 ;     490 ;     492 ;     495 ;     498 ;     501
Vz TOC MCR rating    (ft/min) ;     105 ;     107 ;     108 ;     110 ;     113 ;     115 ;     116 ;     116 ;     116 ;     116 ;     116
Time to climb           (min) ;    25.0 ;    25.0 ;    25.0 ;    25.0 ;    25.0 ;    25.0 ;    25.0 ;    25.0 ;    25.0 ;    25.0 ;    25.0
Block fuel               (kg) ;    3640 ;    3638 ;    3637 ;    3640 ;    3654 ;    3673 ;    3697 ;    3723 ;    3751 ;    3781 ;    3812
Cash Op Cost         ($/trip) ;    9845 ;    9844 ;    9844 ;    9847 ;    9860 ;    9878 ;    9901 ;    9926 ;    9953 ;    9981 ;   10010
CO2 metric (10e-4kg/km/m0.48) ;    7607 ;    7600 ;    7598 ;    7602 ;    7633 ;    7677 ;    7734 ;    7797 ;    7866 ;    7938 ;    8015
